1997-08-20T00:00:00-08:00,"The Culture of Perl","Larry Wall",perl.com/pub/1997/wall/keynote.html,"Larry Wall",,"rdf not found,no tags found,body div not found"
1998-03-10T00:00:00-08:00,"Perl Support for XML Developing","Dale Dougherty",perl.com/pub/1998/06/perl-xml.html,XML,"languages,perl,xml,xml",
1998-06-03T00:00:00-08:00,"MacPerl Gains Ground",perl.com,perl.com/pub/1998/06/macperl.html,Programming,"mac,macperl,matthias-ulrich-neeracher,perl,resources,rich-morin",
1998-07-22T00:00:00-08:00,"Perl Builder IDE Debuts","Brent Michalski",perl.com/pub/1998/07/review.html,Editors,"ide,integrated-development-environment,perl,products,reviews,windows-95-98-nt",
1998-07-22T00:00:00-08:00,"How Perl Creates Orders For The Air Force","Brent Michalski",perl.com/pub/1998/07/rwperl.html,Business,"air-force,databases,languages,perl,programming",
1998-08-18T00:00:00-08:00,"Day 1 Highlights: Lincoln's Cool Tricks and Regexp","Brent Michalski",perl.com/pub/1998/08/show/day1.html,Community,,"rdf not found,no tags found,body div not found"
1998-08-19T00:00:00-08:00,"Day 2: Perl Mongers at The Conference","Brent Michalski",perl.com/pub/1998/08/show/day2.html,Community,,"rdf not found,no tags found,body div not found"
1998-08-20T00:00:00-08:00,"Day 3: Core Perl Developers at Work and Play","Brent Michalski",perl.com/pub/1998/08/show/day3.html,Community,,"rdf not found,no tags found,body div not found"
1998-08-21T00:00:00-08:00,"The Final Day at The Perl Conference","Brent Michalski",perl.com/pub/1998/08/show/day4.html,Community,,"rdf not found,no tags found,body div not found"
1998-08-25T00:00:00-08:00,"2nd State of the Onion","Larry Wall",perl.com/pub/1998/08/show/onion.html,"Larry Wall",,"rdf not found,no tags found,body div not found"
1998-08-26T00:00:00-08:00,"Perl's Prospects Are Brighter Than Ever","Jon Udell",perl.com/pub/1998/08/show/udell.html,Programming,,"rdf not found,no tags found,body div not found"
1998-08-27T00:00:00-08:00,"A Photographic Journal","Joseph F. Ryan",perl.com/pub/1998/08/show/perl-photos.html,Community,,"rdf not found,no tags found,body div not found"
1998-10-21T00:00:00-08:00,"Perl Rescues a Major Corporation","Brent Michalski",perl.com/pub/1998/10/brent.html,Business,,"rdf not found,no tags found,body div not found"
1998-11-17T00:00:00-08:00,"A Zero Cost Solution","Sam Schulte",perl.com/pub/1998/11/article.html,Win32,"task-management-system,win32",
1998-11-25T00:00:00-08:00,"XML::Parser Module Enables XML Development in Perl",perl.com,perl.com/pub/1998/11/xml.html,XML,,"rdf not found,no tags found,body div not found"
1999-01-03T00:00:00-08:00,"Y2K Compliance","Tom Christiansen",perl.com/pub/1999/01/y2k.html,Y2K,y2k,
1999-01-13T00:00:00-08:00,"What the Heck is a Perl Monger?!","Brent Michalski",perl.com/pub/1999/01/foy.html,Community,,"rdf not found,no tags found,body div not found"
1999-01-19T00:00:00-08:00,"Success in Migrating from C to Perl","Kim Ryan",perl.com/pub/1999/01/kr-perl.html,"C and Perl",,"rdf not found,no tags found,body div not found"
1999-03-09T00:00:00-08:00,"Perl, the first postmodern computer language","Larry Wall",perl.com/pub/1999/03/pm.html,"Larry Wall","linux,postmodern,theory",
1999-06-09T00:00:00-08:00,"Microsoft to Fund Perl Development","Dale Dougherty",perl.com/pub/1999/06/activestate.html,Win32,"activestate,microsoft,windows",
